soc_cat,category_name,short_cat
11,Management,M
13,Business & Finance Operations,
15,Computer & Math,C&M
17,Architecture & Engineering,
19,Life & Social Science,
21,Social Serv. & Communications,
23,Legal,
25,Education & Library,
27,"Arts ,Ent., Sports, & Media",
29,Doctors & Technical,
31,Healthcare Support,
33,Protective Services,
35,Food Prep,
37,Building & Grounds Services,
39,Personal Care & Service,
41,Sales,S
43,Office & Admin,
45,"Farming, Fishing, & Forestry",
47,Construction Related,
49,"Installation, Maint. & Repair",
51,Production,
53,Transportation,
55,Military,
