soc_name,soc,soc_cat
General & operations managers,111021,11
General & operations managers,111021,11
Compensation & benefits managers,113111,11
Compensation & benefits managers,113111,11
Human resources managers,113121,11
Human resources managers,113121,11
Training & development managers,113131,11
Training & development managers,113131,11
Emergency management directors,119161,11
Emergency management directors,119161,11
"Agents & business managers of artists, performers, & athletes",131011,13
"Agents & business managers of artists, performers, & athletes",131011,13
"Buyers & purchasing agents, farm products",131021,13
"Buyers & purchasing agents, farm products",131021,13
"Wholesale & retail buyers, except farm products",131022,13
"Wholesale & retail buyers, except farm products",131022,13
"Purchasing agents, except wholesale, retail, & farm products",131023,13
"Purchasing agents, except wholesale, retail, & farm products",131023,13
"Claims adjusters, appraisers, examiners, & investigators",131030,13
"Claims adjusters, appraisers, examiners, & investigators",131030,13
Compliance officers,131041,13
Compliance officers,131041,13
Cost estimators,131051,13
Cost estimators,131051,13
Human resources workers,131070,13
Human resources workers,131070,13
Logisticians,131081,13
Logisticians,131081,13
Management analysts,131111,13
Management analysts,131111,13
"Meeting, convention, & event planners",131121,13
"Meeting, convention, & event planners",131121,13
Fundraisers,131131,13
Fundraisers,131131,13
"Compensation, benefits, & job analysis specialists",131141,13
"Compensation, benefits, & job analysis specialists",131141,13
Training & development specialists,131151,13
Training & development specialists,131151,13
Market research analysts & marketing specialists,131161,13
Market research analysts & marketing specialists,131161,13
"Business operations specialists, all other",131199,13
"Business operations specialists, all other",131199,13
Accountants & auditors,132011,13
Accountants & auditors,132011,13
Appraisers & assessors of real estate,132021,13
Appraisers & assessors of real estate,132021,13
Budget analysts,132031,13
Budget analysts,132031,13
Credit analysts,132041,13
Credit analysts,132041,13
Financial analysts,132051,13
Financial analysts,132051,13
Personal financial advisors,132052,13
Personal financial advisors,132052,13
Insurance underwriters,132053,13
Insurance underwriters,132053,13
Financial examiners,132061,13
Financial examiners,132061,13
Credit counselors & loan officers,132070,13
Credit counselors & loan officers,132070,13
"Tax examiners & collectors, & revenue agents",132081,13
"Tax examiners & collectors, & revenue agents",132081,13
Tax preparers,132082,13
Tax preparers,132082,13
Other financial specialists,132099,13
Other financial specialists,132099,13
Computer & information research scientists,151111,15
Computer & information research scientists,151111,15
Computer systems analysts,151121,15
Computer systems analysts,151121,15
Information security analysts,151122,15
Information security analysts,151122,15
Computer programmers,151131,15
Computer programmers,151131,15
Web developers,151134,15
Web developers,151134,15
Database administrators,151141,15
Database administrators,151141,15
Network & computer systems administrators,151142,15
Network & computer systems administrators,151142,15
