avg_wage_ft,avg_wage_ft_moe,geo,num_ppl,num_ppl_moe,sex,soc,year
98856.6,9712.26,04000US01,7650,873.91,1,111021,2016
56630.0,5792.07,04000US01,2913,472.399,2,111021,2016
152922.0,9963.47,04000US01,9786,1030.76,1,1110XX,2016
112979.0,16978.5,04000US01,2892,460.726,2,1110XX,2016
60580.6,36955.8,04000US01,99,62.6138,1,112011,2016
61042.4,13139.0,04000US01,202,123.742,2,112011,2016
95684.5,8323.67,04000US01,5627,766.584,1,112020,2016
57946.2,4690.37,04000US01,3759,623.892,2,112020,2016
83907.1,12842.4,04000US01,125,99.2782,1,112031,2016
76414.3,13065.2,04000US01,358,154.254,2,112031,2016
63227.8,7892.38,04000US01,1307,370.822,1,113011,2016
55682.6,14753.3,04000US01,405,171.662,2,113011,2016
98873.4,7600.83,04000US01,3406,419.824,1,113021,2016
85124.2,8460.98,04000US01,1694,401.731,2,113021,2016
111698.0,9892.8,04000US01,5268,689.987,1,113031,2016
55931.8,4937.12,04000US01,8989,870.276,2,113031,2016
95456.7,10496.6,04000US01,2840,442.612,1,113051,2016
70896.8,20398.1,04000US01,687,283.207,2,113051,2016
89485.8,12383.7,04000US01,1982,417.193,1,113061,2016
58434.7,7409.29,04000US01,1438,368.266,2,113061,2016
68624.4,7786.39,04000US01,3552,608.38,1,113071,2016
53243.0,15659.3,04000US01,523,261.614,2,113071,2016
90238.5,4.18057e-11,04000US01,12,19.2437,1,113111,2016
69433.9,25220.1,04000US01,87,93.1199,2,113111,2016
92218.4,9179.82,04000US01,2331,483.867,1,113121,2016
61507.4,6925.74,04000US01,3068,655.613,2,113121,2016
97510.2,32575.1,04000US01,442,170.524,1,113131,2016
52212.1,11560.0,04000US01,306,161.84,2,113131,2016
65738.0,12975.7,04000US01,2372,436.446,1,119013,2016
50358.7,34656.6,04000US01,228,112.729,2,119013,2016
75151.9,5832.66,04000US01,6925,980.563,1,119021,2016
62090.5,9443.09,04000US01,554,233.489,2,119021,2016
88961.2,10071.5,04000US01,4033,641.068,1,119030,2016
58847.7,3300.81,04000US01,7533,920.99,2,119030,2016
142637.0,15567.8,04000US01,1809,397.813,1,119041,2016
113867.0,32385.8,04000US01,178,107.198,2,119041,2016
51615.2,8100.2,04000US01,5733,725.001,1,119051,2016
30475.9,2675.63,04000US01,7958,947.935,2,119051,2016
23953.8,16969.0,04000US01,111,103.898,1,119071,2016
42178.2,8712.38,04000US01,24,34.8821,2,119071,2016
49525.3,12081.3,04000US01,650,286.654,1,119081,2016
36249.7,5061.34,04000US01,890,260.25,2,119081,2016
103476.0,13966.7,04000US01,2577,509.013,1,119111,2016
66206.6,3889.6,04000US01,5312,707.619,2,119111,2016
82127.2,0.0,04000US01,8,13.4649,1,119121,2016
94055.5,1.92994e-11,04000US01,4,7.13255,2,119121,2016
80822.4,17826.8,04000US01,2387,485.706,1,119141,2016
47986.7,7967.49,04000US01,3756,595.391,2,119141,2016
84768.6,15577.3,04000US01,1181,325.328,1,119151,2016
46241.7,5790.2,04000US01,2219,360.936,2,119151,2016
36335.9,0.0,04000US01,26,31.8914,1,119161,2016
97514.2,3492.55,04000US01,27955,1401.54,1,119XXX,2016
65477.6,3885.55,04000US01,11609,959.171,2,119XXX,2016
45491.7,10635.5,04000US01,148,136.278,1,131011,2016
22309.5,23437.8,04000US01,308,203.097,2,131011,2016
42584.5,0.0,04000US01,16,27.5163,1,131021,2016
4646.53,0.0,04000US01,12,18.7775,2,131021,2016
48916.7,7848.57,04000US01,960,298.748,1,131022,2016
36718.9,8274.21,04000US01,1102,287.572,2,131022,2016
64651.0,6479.85,04000US01,2314,444.724,1,131023,2016
59563.6,4398.2,04000US01,2171,346.733,2,131023,2016
64449.1,9377.39,04000US01,1563,337.433,1,131030,2016
47810.6,4053.5,04000US01,2598,622.646,2,131030,2016
63977.9,6938.94,04000US01,1318,351.371,1,131041,2016
64044.8,8258.57,04000US01,840,283.438,2,131041,2016
76102.6,9072.46,04000US01,1429,338.057,1,131051,2016
54237.1,13438.8,04000US01,301,160.881,2,131051,2016
65495.5,5927.58,04000US01,2186,450.421,1,131070,2016
50558.0,3136.43,04000US01,6032,647.835,2,131070,2016
79189.7,14116.3,04000US01,2038,494.548,1,131081,2016
66329.0,9724.64,04000US01,906,340.055,2,131081,2016
84507.9,10923.5,04000US01,3082,563.135,1,131111,2016
67770.5,7167.48,04000US01,2546,510.15,2,131111,2016
65914.4,28537.3,04000US01,201,114.219,1,131121,2016
49943.2,20503.1,04000US01,449,182.068,2,131121,2016
71906.2,73618.0,04000US01,95,85.977,1,131131,2016
40125.2,10555.2,04000US01,428,198.647,2,131131,2016
94720.8,59999.5,04000US01,161,107.583,1,131141,2016
48677.6,6188.37,04000US01,471,171.664,2,131141,2016
85923.5,10692.4,04000US01,677,216.16,1,131151,2016
56366.4,9589.12,04000US01,1347,294.144,2,131151,2016
94908.7,39559.9,04000US01,406,175.9,1,131161,2016
55376.4,8335.54,04000US01,946,287.265,2,131161,2016
77683.0,9543.12,04000US01,1449,349.88,1,131199,2016
49845.3,5774.37,04000US01,1195,292.619,2,131199,2016
82194.5,5568.82,04000US01,7120,795.215,1,132011,2016
58098.4,2787.76,04000US01,14915,990.838,2,132011,2016
56161.9,13026.3,04000US01,743,242.627,1,132021,2016
46289.5,9194.89,04000US01,363,180.074,2,132021,2016
101341.0,17344.5,04000US01,394,220.719,1,132031,2016
