avg_wage_ft,avg_wage_ft_moe,geo,num_ppl,num_ppl_moe,sex,soc,year
100297.0,921.873,01000US,649621,8155.7,1,111021,2016
72133.8,1120.9,01000US,280139,5444.54,2,111021,2016
177735.0,1505.42,01000US,853952,9610.65,1,1110XX,2016
133079.0,1975.83,01000US,277720,4992.88,2,1110XX,2016
96514.1,5105.17,01000US,20143,1370.88,1,112011,2016
73638.2,3179.1,01000US,27790,1888.23,2,112011,2016
120265.0,1359.77,01000US,480487,6133.2,1,112020,2016
81514.6,931.528,01000US,394651,5717.77,2,112020,2016
100456.0,3921.17,01000US,19031,1264.59,1,112031,2016
81981.7,2887.11,01000US,34808,1582.21,2,112031,2016
78998.3,1788.6,01000US,87405,2476.21,1,113011,2016
65108.8,1438.96,01000US,51774,2419.54,2,113011,2016
117380.0,869.044,01000US,400148,5328.74,1,113021,2016
97290.2,1334.13,01000US,156948,3295.21,2,113021,2016
129680.0,1474.14,01000US,515977,7959.6,1,113031,2016
75405.6,740.827,01000US,599945,6569.96,2,113031,2016
88316.1,1175.21,01000US,184465,3589.79,1,113051,2016
75783.7,2222.22,01000US,45979,1737.0,2,113051,2016
92115.8,1581.17,01000US,103646,2532.84,1,113061,2016
73192.5,1070.0,01000US,89083,2780.2,2,113061,2016
62881.1,950.444,01000US,185047,3968.53,1,113071,2016
58524.3,1834.94,01000US,41441,2063.17,2,113071,2016
121155.0,18228.1,01000US,3667,563.193,1,113111,2016
81851.0,4250.79,01000US,12482,935.133,2,113111,2016
93594.8,1839.99,01000US,150199,4005.78,1,113121,2016
79506.6,1188.18,01000US,225454,4003.96,2,113121,2016
85214.1,4494.8,01000US,31452,1707.14,1,113131,2016
74268.0,2573.49,01000US,26632,1552.48,2,113131,2016
58096.7,1162.18,01000US,230457,4120.37,1,119013,2016
42327.2,2120.77,01000US,35898,1796.59,2,119013,2016
83842.4,742.12,01000US,466363,6839.94,1,119021,2016
66740.2,2033.52,01000US,42344,1654.16,2,119021,2016
88961.4,915.965,01000US,312236,5499.69,1,119030,2016
68792.4,575.576,01000US,550672,7184.83,2,119030,2016
147206.0,2101.51,01000US,135051,3170.95,1,119041,2016
131573.0,5125.93,01000US,13437,880.118,2,119041,2016
53102.3,756.421,01000US,461899,7127.28,1,119051,2016
37309.1,518.841,01000US,419904,6208.02,2,119051,2016
61496.4,3655.53,01000US,10720,916.895,1,119071,2016
52566.2,3776.44,01000US,7184,950.353,2,119071,2016
65644.4,3733.88,01000US,59236,2411.25,1,119081,2016
47260.6,1765.39,01000US,58926,2567.32,2,119081,2016
110204.0,1907.28,01000US,185012,4301.31,1,119111,2016
75710.9,765.213,01000US,438752,5985.69,2,119111,2016
129048.0,8635.8,01000US,9192,734.754,1,119121,2016
89563.1,5615.45,01000US,9718,926.073,2,119121,2016
85749.6,1778.04,01000US,237193,4950.66,1,119141,2016
54105.7,836.639,01000US,261126,4891.92,2,119141,2016
78682.5,1859.07,01000US,110725,2934.73,1,119151,2016
61072.8,820.957,01000US,236760,4096.64,2,119151,2016
74705.6,4740.88,01000US,7018,624.331,1,119161,2016
73416.4,11894.6,01000US,2674,480.612,2,119161,2016
105943.0,501.085,01000US,2345209,13303.0,1,119XXX,2016
79354.8,516.785,01000US,1302711,10014.9,2,119XXX,2016
86555.5,7709.92,01000US,20594,1384.29,1,131011,2016
65660.2,5058.42,01000US,17315,1048.65,2,131011,2016
66174.0,5988.43,01000US,6016,691.1,1,131021,2016
45859.9,6673.18,01000US,2378,425.785,2,131021,2016
54834.5,2184.99,01000US,92733,3258.31,1,131022,2016
50492.0,1143.09,01000US,115781,3467.55,2,131022,2016
66882.7,1138.37,01000US,126610,3168.32,1,131023,2016
55131.6,750.509,01000US,140181,3281.6,2,131023,2016
65005.6,1211.63,01000US,112463,2898.89,1,131030,2016
51621.4,619.811,01000US,173194,3630.53,2,131030,2016
84569.9,1952.27,01000US,104310,2906.89,1,131041,2016
72088.1,1520.62,01000US,112918,3278.43,2,131041,2016
70149.9,1331.52,01000US,110571,3002.0,1,131051,2016
52931.1,1909.32,01000US,18313,1088.47,2,131051,2016
78897.7,1380.59,01000US,205976,4334.09,1,131070,2016
63465.7,678.76,01000US,520707,7426.51,2,131070,2016
63762.2,1568.69,01000US,85232,2866.91,1,131081,2016
53560.8,1626.43,01000US,42558,2044.67,2,131081,2016
112376.0,1348.79,01000US,398062,5872.22,1,131111,2016
83793.6,1154.66,01000US,294140,4896.26,2,131111,2016
58240.3,3230.25,01000US,27647,1522.32,1,131121,2016
51017.9,1166.46,01000US,91555,3129.94,2,131121,2016
87643.9,5520.77,01000US,26327,1211.42,1,131131,2016
64857.7,1725.93,01000US,66324,2186.29,2,131131,2016
