avg_wage_ft,avg_wage_ft_moe,geo,num_ppl,num_ppl_moe,sex,soc,year
111314.0,5935.55,04000US53,14386,1081.62,1,111021,2014
80831.5,8495.82,04000US53,7008,776.88,2,111021,2014
174698.0,27891.6,04000US53,21,24.2435,1,113111,2014
75822.1,13327.4,04000US53,184,104.013,2,113111,2014
93550.0,11412.4,04000US53,3529,463.978,1,113121,2014
82054.6,6524.99,04000US53,5202,507.794,2,113121,2014
106928.0,28508.8,04000US53,779,280.94,1,113131,2014
70430.4,9481.51,04000US53,575,202.82,2,113131,2014
77204.6,12088.6,04000US53,297,167.896,1,119161,2014
119136.0,2905.7,04000US53,91,116.712,2,119161,2014
49231.2,17155.4,04000US53,280,176.772,1,131011,2014
100350.0,47675.1,04000US53,226,126.519,2,131011,2014
69725.5,26915.6,04000US53,101,70.5636,1,131021,2014
69634.5,0.0,04000US53,14,24.1064,2,131021,2014
58058.7,9238.23,04000US53,3217,630.041,1,131022,2014
53231.2,5314.33,04000US53,3928,554.176,2,131022,2014
59326.2,3599.96,04000US53,3010,513.224,1,131023,2014
59367.5,3797.19,04000US53,3537,532.462,2,131023,2014
66765.0,9540.88,04000US53,1746,402.525,1,131030,2014
51584.3,5297.93,04000US53,2966,413.251,2,131030,2014
79630.7,5673.01,04000US53,2485,424.61,1,131041,2014
65450.3,5964.2,04000US53,2194,386.006,2,131041,2014
67650.9,5243.16,04000US53,3162,451.465,1,131051,2014
60118.0,8718.19,04000US53,511,234.945,2,131051,2014
82212.8,13024.6,04000US53,5577,737.064,1,131070,2014
62364.1,3166.98,04000US53,12511,988.463,2,131070,2014
56905.5,6907.77,04000US53,2220,501.112,1,131081,2014
48426.2,6533.93,04000US53,1000,255.4,2,131081,2014
108361.0,8952.38,04000US53,8550,875.045,1,131111,2014
79023.9,4750.37,04000US53,6847,723.917,2,131111,2014
43826.0,15089.5,04000US53,807,233.171,1,131121,2014
43602.0,3855.33,04000US53,2146,359.087,2,131121,2014
149343.0,71306.5,04000US53,629,211.094,1,131131,2014
65646.0,7447.33,04000US53,2024,337.36,2,131131,2014
112624.0,49163.7,04000US53,313,161.784,1,131141,2014
58642.5,8389.38,04000US53,1030,238.661,2,131141,2014
73116.2,7791.11,04000US53,1751,333.053,1,131151,2014
64584.6,6321.21,04000US53,1885,407.741,2,131151,2014
105496.0,15391.1,04000US53,2405,439.868,1,131161,2014
66686.4,6373.1,04000US53,3052,445.476,2,131161,2014
79579.2,7159.9,04000US53,2918,471.627,1,131199,2014
63424.6,8317.62,04000US53,3205,421.605,2,131199,2014
88465.3,4339.33,04000US53,14485,1056.99,1,132011,2014
66359.1,2929.76,04000US53,24646,1340.94,2,132011,2014
67263.7,9461.62,04000US53,1132,233.136,1,132021,2014
59114.1,6932.43,04000US53,542,180.817,2,132021,2014
77084.4,24350.0,04000US53,488,207.954,1,132031,2014
68196.0,8258.1,04000US53,864,258.631,2,132031,2014
96647.1,38038.0,04000US53,99,66.8394,1,132041,2014
55242.5,7267.73,04000US53,347,154.489,2,132041,2014
107275.0,21398.6,04000US53,1228,297.262,1,132051,2014
63759.6,9880.96,04000US53,1036,276.001,2,132051,2014
120347.0,12222.0,04000US53,4093,596.71,1,132052,2014
101355.0,14407.7,04000US53,2288,390.757,2,132052,2014
77603.1,13168.0,04000US53,685,206.796,1,132053,2014
68044.5,11273.7,04000US53,1149,338.118,2,132053,2014
99558.4,14697.8,04000US53,111,95.01,1,132061,2014
92093.2,71649.4,04000US53,157,104.784,2,132061,2014
95970.0,14815.1,04000US53,2620,489.424,1,132070,2014
58803.6,6322.51,04000US53,3925,565.42,2,132070,2014
74442.7,14768.1,04000US53,415,124.902,1,132081,2014
62781.4,11024.1,04000US53,657,286.928,2,132081,2014
82923.6,30906.9,04000US53,670,223.517,1,132082,2014
43319.6,7569.28,04000US53,761,230.277,2,132082,2014
108951.0,40560.0,04000US53,667,278.51,1,132099,2014
54758.0,14833.1,04000US53,614,252.456,2,132099,2014
139881.0,34953.0,04000US53,295,124.589,1,151111,2014
101464.0,31429.5,04000US53,124,94.0114,2,151111,2014
95653.2,4948.63,04000US53,7182,837.024,1,151121,2014
73861.1,4933.55,04000US53,4657,565.199,2,151121,2014
93348.8,9845.16,04000US53,1042,297.313,1,151122,2014
82097.9,15489.1,04000US53,244,125.081,2,151122,2014
97388.5,4380.21,04000US53,9558,978.949,1,151131,2014
76223.2,5692.72,04000US53,2132,362.438,2,151131,2014
75633.2,8299.87,04000US53,3461,665.851,1,151134,2014
60120.6,11630.1,04000US53,2152,480.304,2,151134,2014
91893.6,8890.22,04000US53,1903,427.323,1,151141,2014
65162.9,8835.53,04000US53,1197,271.694,2,151141,2014
79344.8,5701.07,04000US53,4347,490.17,1,151142,2014
75957.5,8715.46,04000US53,991,242.505,2,151142,2014
106209.0,7013.45,04000US53,2379,432.197,1,151143,2014
96072.5,14839.0,04000US53,369,161.797,2,151143,2014
64668.8,3386.61,04000US53,10533,1045.4,1,151150,2014
63108.5,4637.99,04000US53,3198,458.846,2,151150,2014
78069.0,4781.96,04000US53,6907,792.639,1,151199,2014
73330.5,11154.6,04000US53,2143,374.155,2,151199,2014
119115.0,34394.0,04000US53,524,282.517,1,152011,2014
126705.0,30834.9,04000US53,174,118.788,2,152011,2014
92551.4,6902.88,04000US53,1594,315.371,1,152031,2014
76992.0,8349.78,04000US53,1229,338.307,2,152031,2014
86871.5,10399.2,04000US53,3219,413.846,1,171010,2014
64058.8,12071.4,04000US53,1345,309.3,2,171010,2014
63620.8,8172.24,04000US53,735,213.469,1,171020,2014
52017.1,4242.4,04000US53,244,100.497,2,171020,2014
112440.0,2908.21,04000US53,13875,822.718,1,172011,2014
94529.7,6584.29,04000US53,1731,369.118,2,172011,2014
90228.5,11800.6,04000US53,403,174.893,1,172041,2014
75740.9,10211.3,04000US53,37,49.1081,2,172041,2014
95926.8,5329.7,04000US53,8858,678.489,1,172051,2014
77409.2,5308.94,04000US53,1541,336.929,2,172051,2014
105959.0,15018.9,04000US53,1017,253.126,1,172061,2014
