,state_cd,f1,soc_cat,f_num_ppl,f_total_wages,m_num_ppl,m_total_wages,f_avg_wage,m_avg_wage,wage_diff,pct_wage_diff,perc_women
3,AL,01,11,67586,3970324760.1,100194,9678064246.5,58744.780873257776,96593.25155697946,37848.47068372169,0.391833488092025,0.40282512814399807
75,MS,28,11,36115,1876022972.2999997,51032,4329961297.700001,51945.811222483724,84847.96397750433,32902.15275502061,0.38777775225984124,0.41441472454588224
54,LA,22,11,68730,3940268816.0,94287,8722812074.3,57329.67868470828,92513.41196877617,35183.733284067894,0.3803095414526773,0.4216124698651061
108,OK,40,11,57921,3391322668.6000004,90351,8349010883.1,58550.830762590434,92406.40261978285,33855.571857192415,0.3663769056836375,0.3906401748138556
6,AR,05,11,40406,2273171956.4999995,59418,5206216859.5,56258.277396921236,87620.1969016123,31361.919504691068,0.3579302559649233,0.40477239942298443
18,CT,09,11,75738,7123013057.099998,114596,16686813564.099998,94048.07437613877,145614.2759267339,51566.20155059514,0.35412875023696694,0.3979215484359074
120,SC,45,11,76529,4600775742.4,108155,10042493258.900002,60118.06952135791,92852.78774813926,32734.718226781355,0.35254426949003853,0.4143780728162699
132,UT,49,11,42883,2612707240.7000003,90236,8481600413.5,60926.410015623915,93993.53266434683,33067.122648722914,0.35180210501084586,0.3221403405975105
129,TX,48,11,447890,31576751335.699997,699005,75947326102.6,70501.13049119203,108650.6192410641,38149.48874987206,0.3511207668796572,0.3905239799632922
123,SD,46,11,14262,691307184.1999999,23551,1749226468.1,48471.96635815453,74273.97851895886,25802.012160804326,0.3473896602188641,0.37717187210747627
99,NV,32,11,42204,2642879498.2999997,59420,5697988039.7,62621.54057198369,95893.43722147425,33271.896649490554,0.34696740062248693,0.41529559946469335
90,NH,33,11,29213,2186835097.8,42998,4920833659.0,74858.28561941603,114443.31501465185,39585.02939523582,0.3458920199066923,0.4045505532398111
126,TN,47,11,97997,6271277286.7,143458,14013002132.2,63994.58439237936,97680.17212145716,33685.5877290778,0.34485594156399085,0.4058603052328591
45,IN,18,11,102747,6323377009.700001,153093,14262667449.5,61543.17897067555,93163.41994408627,31620.24097341072,0.3394061853073683,0.40160647279549716
66,MI,26,11,155534,10448628554.199999,228234,23176318505.399998,67179.06409016678,101546.30118825415,34367.23709808737,0.33843908341254897,0.40528131579495946
84,ND,38,11,11539,682825844.0,21599,1924737643.4999995,59175.47829101309,89112.34980786145,29936.87151684836,0.33594525990388985,0.34821051360975314
72,MO,29,11,104980,6593280127.8,144155,13567481909.8,62805.10695180034,94117.31753876036,31312.210586960013,0.3326934022961789,0.4213779677684789
150,WY,56,11,9890,522605316.00000006,16188,1278456238.1999998,52841.79130434783,78975.55214974054,26133.76084539271,0.33090950470143143,0.37924687476033436
78,MT,30,11,18753,918381102.4000001,29430,2142359098.7,48972.48986295526,72795.07640842677,23822.58654547151,0.3272554645291066,0.3892036610422763
57,MA,25,11,163509,14165570671.500002,211302,27130468249.200005,86634.80708401374,128396.64673879095,41761.83965477721,0.3252564667030374,0.4362438669089221
81,NC,37,11,172011,11538215550.7,249292,24750504631.4,67078.3586555511,99283.18851547583,32204.829859924736,0.3243734447036296,0.40828334951329565
39,ID,16,11,22001,1216664360.4,40050,3276893982.1,55300.41181764466,81820.07445942571,26519.662641781055,0.32412171239140175,0.3545631818987607
48,KS,20,11,51062,3250122905.4000006,80524,7542397237.499999,63650.52104108732,93666.45021981023,30015.92917872291,0.320455500430341,0.3880504004985333
30,GA,13,11,181135,12688743975.5,259790,26664430655.6,70051.30966130234,102638.40276992955,32587.093108627218,0.3174941564676648,0.4108068265578046
105,OH,39,11,193785,13061455144.300001,288629,28467717749.8,67401.78622855227,98630.8297149628,31229.043486410534,0.3166255781955865,0.40169854108711606
36,IA,19,11,53135,3210336423.7,83615,7346952118.5,60418.48920109156,87866.43686539496,27447.947664303407,0.31238261893277497,0.38855575868372944
0,AK,02,11,13860,961705075.1,19411,1934555593.6000001,69387.09055555555,99662.85063108547,30275.76007552992,0.30378179917409187,0.41657900273511467
27,FL,12,11,335659,22510918926.2,490603,46998498033.7,67064.84535257508,95797.4126405668,28732.567287991726,0.29993051478119465,0.40623797294320685
42,IL,17,11,238011,19001464473.7,347412,39549417834.5,79834.39619891517,113840.10291670985,34005.706717794674,0.2987146519243281,0.40656243434234735
51,KY,21,11,59472,3715362203.2,93657,8335126105.6,62472.46104385256,88996.29611881654,26523.835074963972,0.29803302195355097,0.3883784260329526
147,WV,54,11,22243,1309321201.6,30264,2535031237.1,58864.415843186616,83763.91875165212,24899.502908465503,0.29725809488795435,0.42361970784847736
144,WI,55,11,104941,7075181609.000001,148498,14221424848.6,67420.5659275212,95768.46050855904,28347.89458103785,0.2960044928205182,0.4140680794984197
114,PA,42,11,213109,15834026930.1,321404,33787034386.5,74300.13246789202,105123.25418009733,30823.121712205306,0.2932093565083049,0.398697505954018
141,WA,53,11,140286,10794141904.0,208714,22683213641.800003,76943.8283506551,108680.84384277051,31737.015492115417,0.29202032639744335,0.4019656160458453
93,NJ,34,11,180140,17238483849.4,285763,38625301037.7,95694.92533251915,135165.50791285085,39470.5825803317,0.29201667784787744,0.38664700592183354
15,CO,08,11,118371,8608873903.400002,183451,18768164712.199997,72727.89706431475,102306.145576748,29578.248512433245,0.2891150707094545,0.3921881108732962
87,NE,31,11,33568,2046123196.1,55541,4756602292.8,60954.575670281214,85641.27928557282,24686.703615291604,0.2882570627299158,0.37670717884837673
111,OR,41,11,71791,4772556735.5,101130,9391374562.6,66478.48247691215,92864.37815287254,26385.89567596039,0.28413366029893783,0.4151664632982692
135,VA,51,11,190197,15639068561.2,272539,31125515349.8,82225.63216664827,114205.72963796007,31980.097471311805,0.28002183053942115,0.41102702188720996
9,AZ,04,11,104840,7267644647.999999,157564,15160152418.599998,69321.29576497519,96215.83876139218,26894.54299641699,0.27952303220172897,0.39953659242999345
12,CA,06,11,682489,58763720977.6,990331,118182212878.5,86102.07780286568,119336.07337193322,33233.99556906754,0.278490775085984,0.4079871115840318
102,NY,36,11,371060,33402021299.6,504545,62678373991.50001,90017.8442828653,124227.51982776563,34209.675544900325,0.2753792041596748,0.4237755608978935
117,RI,44,11,19048,1480418978.8,27230,2885284499.8200006,77720.44197816044,105959.7686309218,28239.32665276136,0.2665098934966945,0.4115994641082156
69,MN,27,11,114434,8792935549.8,169292,17507165811.199997,76838.48812241116,103414.01726720693,26575.52914479577,0.2569818855032817,0.4033257438514623
63,ME,23,11,24909,1632385156.3999999,32357,2824803080.4,65533.94983339355,87301.14288716507,21767.193053771523,0.24933457150618488,0.4349701393497014
60,MD,24,11,150729,12998950098.3,187626,21555149359.699997,86240.53830583364,114883.59480935476,28643.05650352112,0.24932242546077402,0.44547590548388527
