,Name,Population_x,Comp_Math_Stat,Engineering,Other Science,Business,Education,TotalComputer&Engineer,PercentComputer&Engineer,Population_y,LessHighSchool,HighSchool,SomeCollege,BachelorsOrHigher,Unemployment_Population,Unemployment_LessHS,Unemployment_HighSchool,Unemployment_SomeColl,Unemployment_BachelorHigher,PercentBachOrHigher,GeoFIPS,GDP2017
0,Alabama,903138.0,35298.0,67785.0,98075.0,199860.0,98075.0,103083.0,11.413870305534703,2506391.0,295017.0,756553.0,787593.0,667228.0,4.8,12.5,5.9,4.5,2.1,26.62106590711505,1000.0,211196.5
1,Alaska,150708.0,4613.0,10947.0,20277.0,19561.0,20277.0,15560.0,10.324601215595722,398520.0,29760.0,112788.0,142661.0,113311.0,6.5,16.9,9.9,6.3,2.0,28.432951922111815,2000.0,51479.0
2,Arizona,1478688.0,66801.0,120310.0,146689.0,318148.0,146689.0,187111.0,12.653852604470991,3510512.0,458638.0,823793.0,1198014.0,1030067.0,4.7,7.1,6.6,4.8,2.5,29.34235803780189,4000.0,326445.8
3,Arkansas,507048.0,23263.0,26006.0,53791.0,102490.0,53791.0,49269.0,9.71683154257585,1511374.0,179314.0,504429.0,458668.0,368963.0,4.3,7.4,4.9,4.4,2.5,24.412422074218558,5000.0,122703.5
4,California,9617244.0,545068.0,941497.0,774108.0,1706176.0,774108.0,1486565.0,15.4572869316823,21174456.0,3348498.0,4412959.0,6161241.0,7251758.0,4.9,7.1,6.2,4.8,3.5,34.24767087286681,6000.0,2797600.9
5,Colorado,1720238.0,84913.0,143203.0,144350.0,322939.0,144350.0,228116.0,13.260723225507167,3048369.0,249874.0,630201.0,891392.0,1276902.0,3.5,4.6,4.8,3.9,2.5,41.88803914486731,8000.0,345233.1
6,Connecticut,1042266.0,43317.0,77055.0,93004.0,200564.0,93004.0,120372.0,11.54906712873681,1892760.0,156123.0,488667.0,479439.0,768531.0,5.1,10.3,7.7,5.5,2.8,40.603721549483296,9000.0,264509.9
7,Delaware,223849.0,12786.0,18017.0,20562.0,49362.0,20562.0,30803.0,13.76061541485555,500469.0,43875.0,157889.0,136733.0,161972.0,4.6,8.8,6.2,4.4,2.7,32.364042528108634,10000.0,72461.3
8,District of Columbia,318206.0,12522.0,14485.0,13951.0,40267.0,13951.0,27007.0,8.487269253251037,410622.0,33494.0,66889.0,63381.0,246858.0,6.0,12.1,13.9,9.0,3.4,60.11806478951445,11000.0,135768.3
9,Florida,4747548.0,187170.0,366402.0,505356.0,1119765.0,505356.0,553572.0,11.660166469090992,10804945.0,1143719.0,3042602.0,3366774.0,3251850.0,4.7,8.1,5.7,4.6,3.1,30.09594218202869,12000.0,976385.5
